pid,pname,pfid,phid,pgenus
552,Eryngium expansum,11,1,Eryngium
553,Eryngium foetidum,11,1,Eryngium
554,Eryngium palmatum,11,1,Eryngium
555,Eryngium paludosum,11,1,Eryngium
556,Eryngium pandanifolium,11,1,Eryngium
557,Eryngium paniculatum,11,1,Eryngium
558,Eryngium rostratum,11,1,Eryngium
559,Eryngium serbicum,11,1,Eryngium
560,Eryngium sp nov.,11,1,Eryngium
561,Eryngium species,11,1,Eryngium
562,Eryngium vesiculosum,11,1,Eryngium
563,Eschweilera coriacea,49,1,Eschweilera
564,Espeletia batata,15,1,Espeletia
565,Eucalyptus alba,62,1,Eucalyptus
566,Eucalyptus albens,62,1,Eucalyptus
567,Eucalyptus blakelyi,62,1,Eucalyptus
568,Eucalyptus brachyphylla,62,1,Eucalyptus
569,Eucalyptus camaldulensis,62,1,Eucalyptus
570,Eucalyptus camaldulensis var. Catharine,62,1,Eucalyptus
571,Eucalyptus camaldulensis var. mysore,62,1,Eucalyptus
572,Eucalyptus citriodora,62,1,Eucalyptus
573,Eucalyptus citriodora x E.torelliana,62,1,Eucalyptus
574,Eucalyptus cladocalyx,62,1,Eucalyptus
575,Eucalyptus crucis,62,1,Eucalyptus
576,Eucalyptus dalrympleana,62,1,Eucalyptus
577,Eucalyptus dealbata,62,1,Eucalyptus
578,Eucalyptus deanei,62,1,Eucalyptus
579,Eucalyptus decaisneana,62,1,Eucalyptus
580,Eucalyptus deglupta,62,1,Eucalyptus
581,Eucalyptus dives,62,1,Eucalyptus
582,Eucalyptus dura,62,1,Eucalyptus
583,Eucalyptus gigantangion,62,1,Eucalyptus
584,Eucalyptus globulus,62,1,Eucalyptus
585,Eucalyptus grandis,62,1,Eucalyptus
586,Eucalyptus gunnii,62,1,Eucalyptus
587,Eucalyptus houseana,62,1,Eucalyptus
588,Eucalyptus intertexta,62,1,Eucalyptus
589,Eucalyptus kingsmillii,62,1,Eucalyptus
590,Eucalyptus kruseana,62,1,Eucalyptus
591,Eucalyptus largiflorens,62,1,Eucalyptus
592,Eucalyptus leucoxylon,62,1,Eucalyptus
593,Eucalyptus loxophleba,62,1,Eucalyptus
594,Eucalyptus macrocarpa,62,1,Eucalyptus
595,Eucalyptus maculata,62,1,Eucalyptus
596,Eucalyptus microcorys,62,1,Eucalyptus
597,Eucalyptus microtheca,62,1,Eucalyptus
598,Eucalyptus miniata,62,1,Eucalyptus
599,Eucalyptus nesophila,62,1,Eucalyptus
600,Eucalyptus nitens,62,1,Eucalyptus
601,Eucalyptus orbifolia,62,1,Eucalyptus
602,Eucalyptus ovata,62,1,Eucalyptus
603,Eucalyptus polycarpa,62,1,Eucalyptus
604,Eucalyptus propinqua,62,1,Eucalyptus
605,Eucalyptus punctata,62,1,Eucalyptus
606,Eucalyptus radiata,62,1,Eucalyptus
607,Eucalyptus raveretiana,62,1,Eucalyptus
608,Eucalyptus robusta,62,1,Eucalyptus
