	Arabidopsis thaliana	Arabidopsis thaliana apetala,Arabidopsis thaliana brachycarpa,Arabidopsis thaliana genuina,Arabidopsis thaliana thaliana,Arabis pubicalyx,Arabis thaliana,Arabis zeyheriana,Conringia thaliana,Hesperis thaliana,Phryne gesneri,Sisymbrium bellidifolium,Sisymbrium thalianum,Stenophragma thalianum
	Argania spinosa	Argania sideroxylon,Argania spinosa,Argania spinosa apiculata,Argania spinosa mutica,Sideroxylon argan,Verlangia argan
	Arnica montana	Arnica bernardina,Arnica chamissonis andina,Arnica chamissonis bernardina,Arnica chamissonis foliosa,Arnica chamissonis incana,Arnica chamissonis incana,Arnica chamissonis incana,Arnica chamissonis jepsoniana,Arnica chamissonis maguirei,Arnica foliosa,Arnica foliosa andina,Arnica incana,Arnica maguirei,Arnica montana
	Artedia squamata	Ammi anethifolium,Daucus artedia,Tordylium arthedia
	Artemisia abrotanum	Abrotanum alpestre,Abrotanum ambiguum,Abrotanum brachylobium,Abrotanum congestum,Abrotanum incanescens,Abrotanum mas,Abrotanum pauciflorum,Abrotanum pedunculare,Abrotanum platylobum,Abrotanum pulverulentum,Abrotanum rhodanicum,Abrotanum suave,Abrotanum virgatum,Abrotanum viridulum,Abrotanum xerophilum,Artemisia abrotanifolium,Artemisia altissima,Artemisia anethifolia,Artemisia elatior,Artemisia elegans,Artemisia foeniculacea,Artemisia herbacea,Artemisia herbacea,Artemisia humilis,Artemisia naronitana,Artemisia paniculata,Artemisia procera,Artemisia sabulosa,Artemisia tenuissima
	Artemisia absinthium	Absinthium bipedale,Absinthium majus,Absinthium officinale,Absinthium vulgare,Artemisia albida,Artemisia arborescens cupaniana,Artemisia inodora,Artemisia pendula,Artemisia rehan,Artemisia rhaetica
	Artemisia annua	Artemisia annua macrocephala,Artemisia chamomilla,Artemisia exilis,Artemisia hyrcana,Artemisia plumosa,Artemisia stewartii,Artemisia suaveolens,Artemisia wadei
	Artemisia arborescens	Absinthium arborescens,Absinthium argenteum,Artemisia argentea,Artemisia elegans
	Artemisia armeniaca	Artemisia canescens,Artemisia potentillifolia
	Artemisia aucheri	Artemisia aucheri,Artemisia griffithiana,Artemisia maritima aucheri,Artemisia maritima beta
	Artemisia barrelieri	Artemisia barrelieri,Seriphidium barrelieri
	Artemisia campestris	Artemisia campestris,Draconia ledebouriana,Oligosporus ledebourianus,Artemisia campestris,Draconia ledebouriana,Oligosporus ledebourianus
	Artemisia ciniformis	Artemisia ciniformis
