pid	pname	scientificName (gbif)	Normalized name	Details	pfid	phid	Error	kingdom	phylum	class	order	family	genus	species		Synonym 
109	Anthemis altissima	Anthemis altissima L.	Anthemis altissima	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cota	Cota altissima		#N/A
110	Anthemis carpatica	Anthemis carpatica Willd.	Anthemis carpatica	Willd.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anthemis	Anthemis cretica		Anthemis cretica GBIF 2685484
111	Anthemis montana	Anthemis montana W.D.J.Koch	Anthemis montana	W.D..J.Koch	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anthemis	Anthemis montana		#N/A
112	Anthemis talyshensis	Anthemis talyschensis A.Fedor.	Anthemis talyschensis	A.Fedor.	15	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cota	Cota talyschensis		Cota talyschensis GBIF 2685484
113	Anthemis tinctoria L.	Anthemis tinctoria L.	Anthemis tinctoria	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cota	Cota tinctoria		#N/A
114	Anthemis triumfettii	Anthemis triumfettii (L.) DC.	Anthemis triumfettii	(L.) DC.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cota	Cota triumfettii		Cota triumfettii GBIF 2685484
115	Anthocleista vogelii	Anthocleista vogelii Planch.	Anthocleista vogelii	Planch.	52	1		Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Anthocleista	Anthocleista vogelii		#N/A
116	Anthriscus cerefolium	Anthriscus cerefolium Hoffm.	Anthriscus cerefolium	Hoffm.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anthriscus	Anthriscus cerefolium		#N/A
117	Anvillea garcini	Anvillea garcinii DC.	Anvillea garcinii	DC.	15	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anvillea	Anvillea garcinii		#N/A
118	Apium graueolens	Apium graveolens L.	Apium graveolens	L.	11	1	Typographical Error and the right spelling already exists	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Apium	Apium graveolens		#N/A
119	Apium graveolens	Apium graveolens L.	Apium graveolens	L.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Apium	Apium graveolens		#N/A
120	Aquilaria agallocha	Aquilaria agallocha Roxb.	Aquilaria agallocha	Roxb.	93	1		Plantae	Tracheophyta	Magnoliopsida	Malvales	Thymelaeaceae	Aquilaria	Aquilaria agallocha		#N/A
