occurrenceId	verbatimScientificName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species
	Anvillea garcini	Anvillea garcinii DC.	3090895	FUZZY	97	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anvillea	Anvillea garcinii
	Apium graueolens	Apium graveolens L.	5371879	FUZZY	95	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Apium	Apium graveolens
	Apium graveolens	Apium graveolens L.	5371879	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Apium	Apium graveolens
	Aquilaria agallocha	Aquilaria agallocha Roxb.	5524201	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Malvales	Thymelaeaceae	Aquilaria	Aquilaria agallocha
	Arabidopsis thaliana	Arabidopsis thaliana (L.) Heynh.	3052436	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana
	Argania spinosa	Argania spinosa (L.) Skeels	5333832	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Sideroxylon	Sideroxylon spinosum
	Arnica montana	Arnica montana L.	5405976	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Arnica	Arnica montana
	Artedia squamata	Artedia squamata L.	3635750	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Artedia	Artedia squamata
	Artemisia lobelii	Artemisia lobelii All.	3121130	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia alba
	Artemisia roxburghiana	Artemisia roxburghiana Bess.	3120990	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia roxburghiana
	Artemisa haussknechtii	Artemisia haussknechtii Boiss.	3121437	FUZZY	88	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia haussknechtii
	Artemisia abrotanum	Artemisia abrotanum L.	8042568	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia abrotanum
	Artemisia absinthium	Artemisia absinthium L.	3121319	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia absinthium
	Artemisia afra	Artemisia afra Jacq. ex Willd.	3121213	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia afra
	Artemisia annua	Artemisia annua L.	8373355	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia annua
	Artemisia arborescens	Artemisia arborescens L.	3120677	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia arborescens
	Artemisia armeniaca	Artemisia armeniaca Lam.	8366310	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia armeniaca
	Artemisia aucheri	Artemisia aucheri Boiss.	3121280	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Seriphidium	Seriphidium aucheri
